Season,League Average RA9,Runs per Win,Dollars per WAR
1985,4.411228456,9.53,0.575532602
1986,4.525218848,9.645,0.679620853
1987,4.876987552,10.144,0.596357616
1988,4.224418983,9.229,0.658219829
1989,4.297165992,9.23,0.797028138
1990,4.40002351,9.44,1.032016349
1991,4.423282863,9.479,1.368916797
1992,4.239274123,9.188,1.917781403
1993,4.690498772,9.953,2.060861423
1994,4.988778241,10.439,1.920673077
1995,4.983163997,10.326,2.05176393
1996,5.192826806,10.599,1.7615
1997,4.867712014,10.21,2.070650798
1998,4.950197006,10.232,1.948359788
1999,5.264707115,10.714,2.30229073
2000,5.283991918,10.795,2.769810459
2001,4.982293104,10.235,3.339866267
2002,4.791971653,9.991,3.379084967
2003,4.901765495,10.158,3.678666345
2004,5.003973668,10.272,3.601396857
2005,4.715446317,9.971,3.975050916
2006,5.082461473,10.365,4.432115231
2007,4.986866472,10.25,4.417665451
2008,4.807966466,10.032,4.897393233
2009,4.788389467,9.994,5.129557096
2010,4.510994116,9.643,4.718794835
2011,4.439931602,9.454,5.590430947
2012,4.552332164,9.544,5.78125
