name,ip_pred_2013,ra9_pred_2013,rar,war,dollar_value
Hiroki Kuroda,161.399977,4.026451,29.541557856902564,3.0888287177857134,17.23566424524428
Andy Pettitte,106.613089,4.040573,19.346449428194777,2.022840801776953,11.287451673915397
Anibal Sanchez,160.484645,4.276805,24.909802489947214,2.604538110617651,14.533322657246492
Hisashi Iwakuma,134.134435,4.383587,19.228365006989442,2.010494040881372,11.218556748118056
Zack Greinke,171.099781,4.420135,23.83258355092389,2.491905431924288,13.904832310137527
Brandon McCarthy,121.138644,4.442011,16.57902135799067,1.7334819487652309,9.672829274109988
Ryan Dempster,151.707159,4.561148,18.754409835301995,1.9609378748747381,10.94203334180104
Paul Maholm,146.903842,4.580779,17.84018212162023,1.8653473569239054,10.408638251635391
Brett Myers,141.816481,4.612705,16.719296453627223,1.7481489391078233,9.754671080221653
Shaun Marcum,131.201284,4.667685,14.666335531940003,1.5334938866520287,8.556895887518321
Bartolo Colon,110.534532,4.721645,11.69338673220667,1.222646040590409,6.822364906494482
Joe Saunders,156.080904,4.726472,16.428000731034665,1.7176914189705839,9.584718117855859
Joe Blanton,133.867141,4.919964,11.211908527313998,1.1723032755451692,6.541452277542044
Jeremy Guthrie,155.197924,5.031733,11.071078396967557,1.1575782514604305,6.459286643149202
Kevin Correia,126.888034,5.112434,7.913809299193774,0.8274581032197589,4.617216215966255
Francisco Liriano,132.586808,5.305175,5.429798084288887,0.5677329657349317,3.167949948800919
